name,parent,type,size
task_5.py,['venv'],file,631
task_1.py,['venv'],file,940
task_4_users.json,['venv'],file,362
result.txt,['venv'],file,64
task_4.py,['venv'],file,1292
directory_walker.py,['venv'],file,2443
users.csv,['venv'],file,47
output.json,['venv'],file,170
users.json,['venv'],file,136
users.pickle,['venv'],file,90
task_3.py,['venv'],file,860
task_2.py,['venv'],file,1742
venv,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8,dir,12466272
pyvenv.cfg,"['bin', 'lib']",file,314
.gitignore,"['bin', 'lib']",file,40
bin,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv,dir,472990
lib,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv,dir,11992928
wheel3.11,[],file,264
wheel3,[],file,264
activate.ps1,[],file,1754
python3,[],file,152624
python,[],file,152624
pip3,[],file,277
deactivate.nu,[],file,682
pip-3.11,[],file,277
activate.fish,[],file,3057
wheel,[],file,264
python3.11,[],file,152624
wheel-3.11,[],file,264
activate_this.py,[],file,1176
pip,[],file,277
pip3.11,[],file,277
activate,[],file,2180
activate.nu,[],file,2633
activate.csh,[],file,1472
python3.11,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib,dir,11992928
site-packages,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11,dir,11992928
pip-22.3.1.virtualenv,"['setuptools-65.5.1.dist-info', 'wheel', '__pycache__', 'pip', 'pip-22.3.1.dist-info', 'wheel-0.38.4.dist-info', 'setuptools', 'pkg_resources', '_distutils_hack']",file,0
_virtualenv.py,"['setuptools-65.5.1.dist-info', 'wheel', '__pycache__', 'pip', 'pip-22.3.1.dist-info', 'wheel-0.38.4.dist-info', 'setuptools', 'pkg_resources', '_distutils_hack']",file,5640
distutils-precedence.pth,"['setuptools-65.5.1.dist-info', 'wheel', '__pycache__', 'pip', 'pip-22.3.1.dist-info', 'wheel-0.38.4.dist-info', 'setuptools', 'pkg_resources', '_distutils_hack']",file,151
_virtualenv.pth,"['setuptools-65.5.1.dist-info', 'wheel', '__pycache__', 'pip', 'pip-22.3.1.dist-info', 'wheel-0.38.4.dist-info', 'setuptools', 'pkg_resources', '_distutils_hack']",file,18
wheel-0.38.4.virtualenv,"['setuptools-65.5.1.dist-info', 'wheel', '__pycache__', 'pip', 'pip-22.3.1.dist-info', 'wheel-0.38.4.dist-info', 'setuptools', 'pkg_resources', '_distutils_hack']",file,0
setuptools-65.5.1.virtualenv,"['setuptools-65.5.1.dist-info', 'wheel', '__pycache__', 'pip', 'pip-22.3.1.dist-info', 'wheel-0.38.4.dist-info', 'setuptools', 'pkg_resources', '_distutils_hack']",file,0
setuptools-65.5.1.dist-info,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,45894
wheel,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,95910
__pycache__,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,6949
pip,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,6847400
pip-22.3.1.dist-info,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,76649
wheel-0.38.4.dist-info,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,6241
setuptools,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,3027307
pkg_resources,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,1863405
_distutils_hack,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages,dir,17364
RECORD,[],file,35656
LICENSE,[],file,1050
WHEEL,[],file,92
entry_points.txt,[],file,2740
top_level.txt,[],file,41
INSTALLER,[],file,4
METADATA,[],file,6311
metadata.py,"['cli', 'vendored']",file,3727
macosx_libfile.py,"['cli', 'vendored']",file,16145
util.py,"['cli', 'vendored']",file,621
_setuptools_logging.py,"['cli', 'vendored']",file,746
__init__.py,"['cli', 'vendored']",file,59
bdist_wheel.py,"['cli', 'vendored']",file,19293
wheelfile.py,"['cli', 'vendored']",file,7536
__main__.py,"['cli', 'vendored']",file,455
cli,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/wheel,dir,15853
vendored,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/wheel,dir,31475
pack.py,[],file,3383
convert.py,[],file,9427
__init__.py,[],file,2384
unpack.py,[],file,659
__init__.py,['packaging'],file,0
packaging,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/wheel/vendored,dir,31475
tags.py,[],file,15612
_musllinux.py,[],file,4374
__init__.py,[],file,0
_manylinux.py,[],file,11489
_virtualenv.cpython-311.pyc,[],file,6949
__init__.py,"['_internal', '_vendor']",file,357
py.typed,"['_internal', '_vendor']",file,286
__pip-runner__.py,"['_internal', '_vendor']",file,1444
__main__.py,"['_internal', '_vendor']",file,1198
_internal,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip,dir,1035611
_vendor,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip,dir,5808504
configuration.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,13529
